Filename,Z3,RInGen,Collab
tip2015_sort_nat_NStoogeSort2Sorts.smt2,600000,600000,600000
tip2015_list_nat_Interleave.smt2,600000,7020,8050
false_graph_bt5.smt2,600000,600000,600000
false_productive_use_of_failure_app_inj2.smt2,600000,600000,600000
grammars_simp_expr_unambig3.smt2,600000,600000,52350
prod_prop_20.smt2,600000,2890,4610
tip2015_weird_nat_op_spec.smt2,600000,600000,600000
false_graph_t3.smt2,600000,600000,600000
tip2015_weird_nat_mul3_rrot.smt2,600000,600000,600000
false_regexp_find7.smt2,1200000,600000,1200000
tip2015_sort_StoogeSortIsSort.smt2,600000,600000,157270
tip2015_sort_MSortBU2IsSort.smt2,600000,600000,600000
tip2015_nat_alt_mul_comm.smt2,600000,600000,600000
tip2015_sort_nat_NStoogeSort2IsSort.smt2,600000,600000,600000
tip2015_weird_nat_mul3_same.smt2,156560,80,4290
false_regexp_star_plus_2.smt2,1200000,600000,1200000
tip2015_sort_nat_HSort2Count.smt2,600000,600000,600000
tip2015_weird_nat_mul3acc_assoc2.smt2,600000,150,1480
tip2015_rotate_structural_mod.smt2,600000,360,1640
false_queue3_QueueL.smt2,600000,21380,23050
tip2015_rotate_self.smt2,600000,600000,45030
tip2015_tree_Flatten1.smt2,600000,600000,600000
tip2015_sort_StoogeSortCount.smt2,600000,600000,600000
tip2015_weird_nat_mul3acc_assoc3.smt2,233710,70,1190
tip2015_nat_max_comm.smt2,600000,40,950
tip2015_weird_nat_op_comm_comm.smt2,600000,600000,600000
tip2015_bin_plus_comm.smt2,1200000,600000,1200000
tip2015_relaxedprefix_correct.smt2,600000,600000,7400
tip2015_sort_BubSortSorts.smt2,600000,600000,600000
tip2015_sort_nat_NStoogeSortIsSort.smt2,600000,600000,600000
tip2015_sort_nat_MSortTDCount.smt2,600000,600000,600000
tip2015_nat_boring_gt_trans.smt2,600000,40,990
isaplanner_prop_42.smt2,600000,90,1020
tip2015_sort_HSort2IsSort.smt2,600000,600000,600000
isaplanner_prop_53.smt2,600000,600000,20480
false_regexp_deluxe_star_seq.smt2,600000,320170,600000
tip2015_weird_nat_mul3_assoc1.smt2,600000,600000,600000
tip2015_weird_nat_mul3_assoc3.smt2,600000,600000,600000
tip2015_regexp_Reverse.smt2,1200000,600000,1200000
tip2015_regexp_PlusCommutative.smt2,600000,600000,600000
prod_prop_08.smt2,600000,600000,600000
tip2015_int_right_distrib.smt2,600000,20320,600000
tip2015_nat_acc_alt_mul_same.smt2,600000,600000,600000
tip2015_sort_NMSortTDSorts.smt2,1440,2920,2060
tip2015_sort_nat_StoogeSort2Count.smt2,600000,600000,600000
false_regexp_bad_assoc.smt2,1200000,50,1200000
false_graph_bt3.smt2,600000,600000,285520
